UID,0,1,2,3,4,5,6,7,8,9,10
1A12DE522,2016 W13,2016 W14,2016 W42,,,,,,,,
1A12DE523,,,,,,,,,,,
1A12DE524,2016 W23,,,,,,,,,,
1A12DE525,2016 W13,2016 W14,2016 W15,2016 W42,,,,,,,
1A12DE526,2016 W09,2016 W10,2016 W11,2016 W39,,,,,,,
1A12DE527,2016 W43,,,,,,,,,,
1A12DE528,2016 W40,,,,,,,,,,
1A12DE529,2016 W14,,,,,,,,,,
1A12DE530,,,,,,,,,,,
1A12DE531,2016 W12,,,,,,,,,,
1A12DE532,,,,,,,,,,,
1A12DE533,2016 W44,,,,,,,,,,
1A12DE534,,,,,,,,,,,
1A12DE535,2016 W38,2016 W39,2016 W40,2016 W41,,,,,,,
1A12DE536,,,,,,,,,,,
1A12DE537,2016 W39,,,,,,,,,,
1A12DE538,2016 W46,,,,,,,,,,
1A12DE539,2016 W43,,,,,,,,,,
1A12DE540,2016 W43,2016 W46,,,,,,,,,
1A12DE541,2016 W41,2016 W44,,,,,,,,,
1A12DE542,,,,,,,,,,,
1A12DE543,,,,,,,,,,,
